DIGARVID,Slope,Aspect,VRM,TWI
abddbe542b,9.74541,159.0647,0.000524,2.320675
8b97f2dd41,9.74541,159.0647,0.000524,2.320675
139149f09e,8.306155,159.1022,0.000848,3.12808
c5c1884f89,7.768297,175.3073,0.000684,5.439706
31a2e8a185,8.371107,154.0899,0.000679,7.236039
c59dfad068,8.371107,154.0899,0.000679,7.236039
0c77037a06,7.768297,175.3073,0.000684,5.439706
0521be22a8,12.1119,159.5201,0.001124,7.084261
948914ee40,5.500731,142.1378,0.001311,7.763404
845af54c75,6.246288,151.6838,0.000699,7.605459
66d175eafe,10.77583,152.7957,0.002831,8.831991
dd52c2010a,11.88813,156.9672,0.001068,6.044572
950a5c3b02,9.469153,158.351,0.000842,7.280316
9479efb95f,8.900152,162.9777,0.002672,9.23347
1233e439ee,4.555746,154.5898,0.000575,6.610525
b466731fe7,2.804766,171.7379,0.000701,4.012673
d936504f9b,11.88813,156.9672,0.001068,6.044572
cfa7c1194d,9.74541,159.0647,0.000524,2.320675
cc8aefc090,7.939115,155.6704,0.000451,5.02606
1ccdbacfd4,8.992587,155.8306,0.000288,5.933809
45ab5252ca,13.67395,7.22346,0.00328,7.778593
e8ba59ad29,19.01147,19.00886,0.002455,4.805236
2ba55140a1,13.67395,7.22346,0.00328,7.778593
9894c9380d,13.67395,7.22346,0.00328,7.778593
ef170b9acd,14.35669,7.607439,0.001081,4.041062
f6cc909de4,13.13801,15.00497,0.001168,1.499845
c5edc5f476,14.86067,14.83067,0.00299,4.986832
5774796a8e,13.69233,14.24426,0.002409,1.178173
ad7267e57b,11.86896,28.06329,0.002469,7.054296
38ddb891e0,18.0133,5.00326,0.001619,4.690399
28fe7153a1,16.15698,355.261,0.010066,7.113549
e824053b54,14.72892,43.01364,0.002739,7.701079
3e1a4b2ee6,14.46923,38.75739,0.001825,5.912176
38bd8170e8,22.67783,5.677716,0.001016,3.086114
6c79d0a437,18.12864,357.0627,0.001461,6.251935
c4132dcd22,15.11902,29.96704,0.004899,6.645868
9905675134,17.88343,6.170263,0.00138,5.825885
9d8561bf62,19.1159,13.58899,0.000766,6.531781
964c1bcf87,19.1159,13.58899,0.000766,6.531781
bcee57f7cf,19.1159,13.58899,0.000766,6.531781
9a2772d950,19.1159,13.58899,0.000766,6.531781
de9245accc,17.78047,11.17681,0.001247,5.312683
58d14b3284,19.26091,5.456254,0.001381,5.017883
1af6e062af,19.26091,5.456254,0.001381,5.017883
61e8866c91,15.22432,356.8652,0.001295,5.410224
897c4d35e7,13.86086,7.429096,0.000974,6.486972
5c91457751,20.53709,22.71561,0.002478,5.62731
e7c8fbe0cf,20.53709,22.71561,0.002478,5.62731
87af117ab9,16.07592,36.16048,0.003645,4.312334
086aeb24e3,20.9632,10.73589,0.001081,4.471274
a9156b0ed9,16.39885,347.6711,0.001473,3.40955
e7ae01742a,11.01168,1.897587,0.001318,8.086106
fa289fa5f4,10.09992,357.1109,0.002339,6.914141
86c681d0d2,11.01168,1.897587,0.001318,8.086106
3f4dccd811,11.01168,1.897587,0.001318,8.086106
82558a87fc,11.01168,1.897587,0.001318,8.086106
2ee1b62471,11.01168,1.897587,0.001318,8.086106
bcefce3c67,21.77394,1.953604,0.002664,5.489553
99186c59c9,18.34678,19.62945,0.005761,2.468512
0a9aca3bbf,21.77394,1.953604,0.002664,5.489553
49b19e8618,13.13801,15.00497,0.001168,1.499845
3dc8daec46,13.92636,31.4887,0.005831,4.592648
d780315aa3,16.5171,350.0358,0.003469,5.21019
267fd42681,15.86399,334.7824,0.003159,2.486779
50b739ffcf,17.24707,5.278873,0.000432,3.191721
1581e6c82b,24.03613,338.4452,0.004547,4.062466
6f39854961,16.21633,4.386605,0.00339,6.050295
368879d9c4,19.6196,0.483425,0.002864,7.06672
42920ee0e0,19.6196,0.483425,0.002864,7.06672
5314ef8da9,21.80769,6.802747,0.002513,5.199483
95e01feaff,23.53534,11.57918,0.0037,5.337591
47b092616d,13.88435,15.25757,0.001297,6.695897
eba87f721b,16.31682,8.171617,0.001175,3.933243
04155aeb44,13.88435,15.25757,0.001297,6.695897
3b7d9a4667,17.56862,357.8356,0.002347,7.341405
f39da43045,20.57667,8.524006,0.001121,3.433268
6c8d9f23ef,20.31384,13.56372,0.000817,4.928587
f88479c46c,20.31384,13.56372,0.000817,4.928587
d2e2ccebf5,16.76527,14.1412,0.001218,2.731455
d177b1d073,17.56862,357.8356,0.002347,7.341405
6e2e295268,16.08323,19.71238,0.001615,3.885822
ef764326b9,21.52063,25.37322,0.002746,2.404065
3b357ec3d0,17.05578,18.8995,0.004849,7.522892
3da8b65a99,14.85849,347.7065,0.00501,2.624737
e4f85974e5,20.81325,359.7427,0.00844,6.823157
bdc8ed7b32,26.62901,15.40597,0.003253,4.289802
8aecd0077c,26.62901,15.40597,0.003253,4.289802
0af1371fa8,24.03613,338.4452,0.004547,4.062466
ff43a44293,20.81325,359.7427,0.00844,6.823157
f06e4fe8b8,20.81325,359.7427,0.00844,6.823157
e6f2bf99a7,23.78988,4.101842,0.00825,6.609293
9311ee4c6d,23.78988,4.101842,0.00825,6.609293
af04af6c62,16.15698,355.261,0.010066,7.113549
d087a3db76,16.15698,355.261,0.010066,7.113549
f8b532c3a7,17.74814,326.4839,0.005257,4.118935
