RAAnr,Area,StdDist,Aspect_mean,Aspect_std
Tanum 119:1,2.620508,0.827817,160.748529,10.987859
Tanum 119:2,0.065428,,155.830566,0
Tanum 12:1,60.330965,2.884004,1.373149,15.916541
Tanum 120:1,42.388886,2.878115,32.385735,15.910082
Tanum 129:1,0.048615,,,
Tanum 13:1,1.756714,2.000485,42.829386,11.407775
Tanum 14:1,2.667909,0.968218,38.315936,13.064312
Tanum 14:2,0.013723,,,
Tanum 15:1,4.567109,2.204177,331.950305,27.000884
Tanum 16:1,0.516455,,62.859934,1.206868
Tanum 16:2,0.105154,0.134944,77.438454,0.000001
Tanum 17:1,0.129912,,59.375443,0
Tanum 17:2,0.004977,,,
Tanum 18:1,35.781581,2.76342,88.123532,18.97103
Tanum 19:1,4.181669,1.16121,95.17527,11.265593
Tanum 21:1,0.732449,0.511078,91.029821,6.858985
Tanum 22:1,7.422934,1.117732,78.167201,12.924512
Tanum 23:1,0.742754,0.359422,90.131214,2.347533
Tanum 2338,0.015159,,,
Tanum 2345,0.418979,0.339147,120.678688,0.377923
Tanum 24:1,0.004645,,,
Tanum 25:1,42.884726,2.598371,106.0703,15.378615
Tanum 26:1,6.865475,1.382918,93.721908,11.553308
Tanum 28:1,13.990684,1.59051,96.249416,28.135904
Tanum 29:1,1.088796,0.44023,188.453956,10.344711
Tanum 84:1,0.545799,,342.617713,2.977277
Tanum 883:1,0.012701,,,
