Panel,Over,Under,OverType,UnderType,OverPhase,UnderPhase
Tanum 25:1,7c95b85f8e,1e09ecdfef,Ship,Ship,1,1
Tanum 25:1,4eb6de9150,7c95b85f8e,Ship,Ship,2,1
Tanum 25:1,8ca40a36b0,0a825b368c,Ship,Ship,1,1
Tanum 25:1,037c8aa1db,598cf0fe5d,Human,Ship,Indeterminate,2
Tanum 25:1,efefa72067,598cf0fe5d,Cupmark,Ship,Indeterminate,2
Tanum 25:1,037c8aa1db,b0b5623a43,Human,Ship,Indeterminate,2
Tanum 25:1,85ec35a4e0,5e53698331,Cupmark,Ship,Indeterminate,1
Tanum 25:1,2f1c73f651,5e53698331,Cupmark,Ship,Indeterminate,1
Tanum 25:1,81ff1a730f,7e51033892,Ship,Indeterminate,3,Indeterminate
Tanum 25:1,81ff1a730f,e257458b83,Ship,Ship,3,2
Tanum 25:1,b4757085ff,e257458b83,Animal,Ship,Indeterminate,2
Tanum 25:1,ff72f11910,89275ba037,Ship,Indeterminate,1,Indeterminate
Tanum 25:1,20481c95c1,b5df11208d,Animal,Human,1,1
Tanum 25:1,a1f5812581,060ecade10,Cupmark,Human,Indeterminate,Indeterminate
Tanum 25:1,d1029002be,4859760f44,Human,Ship,Indeterminate,Indeterminate
Tanum 25:1,c93f1fa51a,019eab60be,Ship,Ship,1,1
Tanum 25:1,32c581e035,6493658b7e,Human,Human,5,Indeterminate
Tanum 25:1,f56d75fb5c,ee35932838,Ship,Human,2,Indeterminate
Tanum 25:1,1e86774081,0ef5714709,Cupmark,Human,Indeterminate,Indeterminate
Tanum 25:1,b184f4eebf,88d8b2f148,Indeterminate,Ship,Indeterminate,2
Tanum 25:1,c030625f3b,423d90006b,Cupmark,Ship,Indeterminate,1
Tanum 25:1,3c9085f80d,5bd6641ab5,Cupmark,Indeterminate,Indeterminate,Indeterminate
Tanum 25:1,f75f88c4e7,cb173d8d36,Cupmark,Indeterminate,Indeterminate,Indeterminate
Tanum 25:1,2ce6344685,ca98494413,Sun,Ship,2,1
Tanum 25:1,33b4212e37,142d26ebd0,Cupmark,Ship,Indeterminate,1
Tanum 18:1,e746efe5aa,64931a740a,Spiral,Ship,4,2
Tanum 18:1,131d56d4aa,35d05a5fc0,Human,Ship,2,2
Tanum 18:1,cc8e589d28,131d56d4aa,Ship,Human,2,2
Tanum 18:1,cc8e589d28,0242dfb62a,Ship,House,2,1
Tanum 18:1,bf304d80b9,0242dfb62a,Ship,House,1,1
Tanum 18:1,52325a0618,0242dfb62a,Ship,House,2,1
